"","P","ll","D","W","copula","params1","params2"
"347","5","37.8133637382388","400","24","huslerReissCopula","1.40746459359967",NA
"348","5","38.0097711005968","400","24","tevCopula","0.918731503310051","11.0175173127814"
"349","5","42.9989013436117","400","24","tCopula","0.639816963223662","62.3091702430952"
"350","5","37.6422470232621","400","24","rot gumbelCopula","1.70599815662429",NA
"351","5","36.9850976728497","400","24","rot galambosCopula","0.971737328233491",NA
"352","5","35.691896632605","400","24","rot huslerReissCopula","1.37371942863565",NA
"353","5","0","400","70","Independent",NA,NA
"354","5","37.4772503699039","400","70","normalCopula","0.60262538593623",NA
"355","5","-0.920255959208107","400","70","claytonCopula","1.63570161941935",NA
"356","5","36.5768154117897","400","70","gumbelCopula","1.64579168035317",NA
"357","5","36.9711235647516","400","70","galambosCopula","0.938272938703726",NA
"358","5","35.8149039795274","400","70","huslerReissCopula","1.35954698513045",NA
"359","5","37.1322363598236","400","70","tevCopula","0.867621516646798","6.76859870362667"
"360","5","37.4748947813898","400","70","tCopula","0.602394300948383","10005.9312866758"
"361","5","24.8202444910138","400","70","rot gumbelCopula","1.52019851592558",NA
"362","5","26.4514758223706","400","70","rot galambosCopula","0.802341328949491",NA
"363","5","27.4440344724096","400","70","rot huslerReissCopula","1.24603379049632",NA
"364","5","0","770","8","Independent",NA,NA
"365","5","44.4521092816689","770","8","normalCopula","0.647771492505145",NA
"366","5","6.18841681076907","770","8","claytonCopula","1.85611652809586",NA
"367","5","45.0698844940889","770","8","gumbelCopula","1.77797032369642",NA
"368","5","45.5977713321689","770","8","galambosCopula","1.05731464140169",NA
"369","5","46.2824375360832","770","8","huslerReissCopula","1.54054560540052",NA
"370","5","46.1221943378335","770","8","tevCopula","0.97745218622175","36.4995324336853"
"371","5","44.4515175898517","770","8","tCopula","0.64780122606093","3653.75731010811"
"372","5","34.0786787111764","770","8","rot gumbelCopula","1.66283380055547",NA
"373","5","33.6976762432187","770","8","rot galambosCopula","0.931910127285536",NA
"374","5","32.453591777086","770","8","rot huslerReissCopula","1.33053781331244",NA
"375","5","0","770","24","Independent",NA,NA
"376","5","70.6572402180322","770","24","normalCopula","0.74880570180823",NA
"377","5","-7.2793062047994","770","24","claytonCopula","2.92123500426451",NA
"378","5","68.8013037916249","770","24","gumbelCopula","2.0764785170759",NA
"379","5","69.2867359723215","770","24","galambosCopula","1.36270186821492",NA
"380","5","69.2346668333742","770","24","huslerReissCopula","1.86688404975553",NA
"381","5","69.4552997066189","770","24","tevCopula","0.967760761930608","16.5114986510047"
"382","5","70.6498019297823","770","24","tCopula","0.748789524055445","3512.30392821581"
"383","5","53.8290323464288","770","24","rot gumbelCopula","1.91215295362135",NA
"384","5","54.0076472195908","770","24","rot galambosCopula","1.17852450793818",NA
"385","5","53.8846756610432","770","24","rot huslerReissCopula","1.63090465808201",NA
"386","5","0","770","70","Independent",NA,NA
"387","5","61.4750757810939","770","70","normalCopula","0.717004370038047",NA
"388","5","17.358023142531","770","70","claytonCopula","2.18134390859311",NA
"389","5","62.5027163646198","770","70","gumbelCopula","1.97726145234019",NA
"390","5","63.3024864746952","770","70","galambosCopula","1.26683517555961",NA
"391","5","64.250014169303","770","70","huslerReissCopula","1.79415048830511",NA
"392","5","64.0454050188992","770","70","tevCopula","0.982207979750303","34.117754828402"
